number,state,value,datetime_start,datetime_complete,duration_seconds,param_alignment.n_components,param_encoding.ridge_alpha,user_attrs_json
0,COMPLETE,0.15465976049502692,2026-02-26T14:33:40.972716,2026-02-26T14:34:51.812055,70.839339,115,4.185822729546974,"{""fold_scores"": {""1"": 0.15346747636795044, ""2"": 0.12976498901844025, ""3"": 0.1311422884464264, ""4"": 0.13722287118434906, ""5"": 0.2432267963886261, ""6"": 0.1331341415643692}, ""objective_metric"": ""median_r"", ""trial_seconds"": 70.70428109169006}"
1,COMPLETE,0.1545736069480578,2026-02-26T14:34:51.836996,2026-02-26T14:35:48.544591,56.707595,80,1330.3245101522919,"{""fold_scores"": {""1"": 0.15418857336044312, ""2"": 0.13084407150745392, ""3"": 0.1323431432247162, ""4"": 0.1352064609527588, ""5"": 0.24060730636119843, ""6"": 0.13425208628177643}, ""objective_metric"": ""median_r"", ""trial_seconds"": 56.59096097946167}"
2,COMPLETE,0.15433071802059808,2026-02-26T14:35:48.561568,2026-02-26T14:36:45.005012,56.443444,35,0.12363188277052217,"{""fold_scores"": {""1"": 0.1540754735469818, ""2"": 0.12915828824043274, ""3"": 0.13083507120609283, ""4"": 0.13735386729240417, ""5"": 0.2434699535369873, ""6"": 0.1310916543006897}, ""objective_metric"": ""median_r"", ""trial_seconds"": 56.324514865875244}"
3,COMPLETE,0.15424134582281113,2026-02-26T14:36:45.021278,2026-02-26T14:37:41.570544,56.549266,110,0.025502648504032846,"{""fold_scores"": {""1"": 0.15397687256336212, ""2"": 0.1291027069091797, ""3"": 0.1308426558971405, ""4"": 0.13730108737945557, ""5"": 0.2432939112186432, ""6"": 0.1309308409690857}, ""objective_metric"": ""median_r"", ""trial_seconds"": 56.43423414230347}"
4,COMPLETE,0.1543200984597206,2026-02-26T14:37:41.587550,2026-02-26T14:38:37.963532,56.375982,90,161.36341713591332,"{""fold_scores"": {""1"": 0.15315580368041992, ""2"": 0.12991762161254883, ""3"": 0.1317041516304016, ""4"": 0.13588090240955353, ""5"": 0.24094152450561523, ""6"": 0.13432058691978455}, ""objective_metric"": ""median_r"", ""trial_seconds"": 56.243101596832275}"
5,COMPLETE,0.15424991150697073,2026-02-26T14:38:37.982141,2026-02-26T14:39:34.452926,56.470785,120,0.013934502251337596,"{""fold_scores"": {""1"": 0.15400785207748413, ""2"": 0.12907201051712036, ""3"": 0.1308935582637787, ""4"": 0.13727186620235443, ""5"": 0.24335287511348724, ""6"": 0.1309013068675995}, ""objective_metric"": ""median_r"", ""trial_seconds"": 56.35417079925537}"
6,COMPLETE,0.15562926481167474,2026-02-26T14:39:34.469471,2026-02-26T14:40:31.487076,57.017605,40,6715.811311069957,"{""fold_scores"": {""1"": 0.15687310695648193, ""2"": 0.1317557990550995, ""3"": 0.13349537551403046, ""4"": 0.13542422652244568, ""5"": 0.2418007254600525, ""6"": 0.13442635536193848}, ""objective_metric"": ""median_r"", ""trial_seconds"": 56.89827919006348}"
7,COMPLETE,0.15438062200943628,2026-02-26T14:40:31.509561,2026-02-26T14:41:28.594810,57.085249,35,0.18740223688836324,"{""fold_scores"": {""1"": 0.15408654510974884, ""2"": 0.12917767465114594, ""3"": 0.13095691800117493, ""4"": 0.13733068108558655, ""5"": 0.24361540377140045, ""6"": 0.13111650943756104}, ""objective_metric"": ""median_r"", ""trial_seconds"": 56.96332764625549}"
8,COMPLETE,0.1546605850259463,2026-02-26T14:41:28.611570,2026-02-26T14:42:25.469051,56.857481,75,1.348018029089081,"{""fold_scores"": {""1"": 0.15406909584999084, ""2"": 0.12962272763252258, ""3"": 0.13124993443489075, ""4"": 0.13756796717643738, ""5"": 0.24339242279529572, ""6"": 0.13206136226654053}, ""objective_metric"": ""median_r"", ""trial_seconds"": 56.74355721473694}"
9,PRUNED,0.15882632434368132,2026-02-26T14:42:25.486656,2026-02-26T14:43:12.457397,46.970741,50,10.558813779064838,"{""fold_scores"": {""1"": 0.15337806940078735, ""2"": 0.12991435825824738, ""3"": 0.13078588247299194, ""4"": 0.13737662136554718, ""5"": 0.24267669022083282}, ""pruned_after_fold"": 5}"
