number,state,value,datetime_start,datetime_complete,duration_seconds,param_alignment.n_components,param_encoding.ridge_alpha,user_attrs_json
0,COMPLETE,0.144427853326,2026-03-02T23:33:01.714257,2026-03-02T23:34:34.750899,93.036642,115,4.185822729546974,"{""fold_scores"": {""1"": 0.14648652076721191, ""2"": 0.11756782233715057, ""3"": 0.12194621562957764, ""4"": 0.12785443663597107, ""5"": 0.22506922483444214, ""6"": 0.1276428997516632}, ""objective_metric"": ""median_r"", ""trial_seconds"": 92.90804147720337}"
1,COMPLETE,0.146146015575,2026-03-02T23:34:34.778443,2026-03-02T23:36:07.830612,93.052169,80,1330.3245101522919,"{""fold_scores"": {""1"": 0.14757002890110016, ""2"": 0.12123548984527588, ""3"": 0.12347724288702011, ""4"": 0.12752127647399902, ""5"": 0.22798748314380646, ""6"": 0.12908457219600677}, ""objective_metric"": ""median_r"", ""trial_seconds"": 92.92761659622192}"
2,COMPLETE,0.144337677707,2026-03-02T23:36:07.853227,2026-03-02T23:37:40.987792,93.134565,35,0.12363188277052217,"{""fold_scores"": {""1"": 0.14712120592594147, ""2"": 0.11717646569013596, ""3"": 0.12198369204998016, ""4"": 0.12752895057201385, ""5"": 0.22489044070243835, ""6"": 0.12732531130313873}, ""objective_metric"": ""median_r"", ""trial_seconds"": 93.01802086830139}"
3,COMPLETE,0.144215963781,2026-03-02T23:37:41.006428,2026-03-02T23:39:14.350527,93.344099,110,0.025502648504032846,"{""fold_scores"": {""1"": 0.1470530778169632, ""2"": 0.11709052324295044, ""3"": 0.12188299000263214, ""4"": 0.12748253345489502, ""5"": 0.22480401396751404, ""6"": 0.126982644200325}, ""objective_metric"": ""median_r"", ""trial_seconds"": 93.22478294372559}"
4,COMPLETE,0.144524358213,2026-03-02T23:39:14.367843,2026-03-02T23:40:47.447095,93.079252,90,161.36341713591332,"{""fold_scores"": {""1"": 0.14562064409255981, ""2"": 0.1191159039735794, ""3"": 0.12201505899429321, ""4"": 0.12690182030200958, ""5"": 0.22506269812583923, ""6"": 0.12843002378940582}, ""objective_metric"": ""median_r"", ""trial_seconds"": 92.96033430099487}"
5,PRUNED,0.147641398013,2026-03-02T23:40:47.464466,2026-03-02T23:42:05.148484,77.684018,120,0.013934502251337596,"{""fold_scores"": {""1"": 0.14704899489879608, ""2"": 0.1170765832066536, ""3"": 0.1218203604221344, ""4"": 0.12744571268558502, ""5"": 0.22481533885002136}, ""pruned_after_fold"": 5}"
6,COMPLETE,0.150214540462,2026-03-02T23:42:05.161969,2026-03-02T23:43:38.497970,93.336001,40,6715.811311069957,"{""fold_scores"": {""1"": 0.15263043344020844, ""2"": 0.1253935694694519, ""3"": 0.1270245611667633, ""4"": 0.13058702647686005, ""5"": 0.23407502472400665, ""6"": 0.13157662749290466}, ""objective_metric"": ""median_r"", ""trial_seconds"": 93.21497178077698}"
7,PRUNED,0.147756208479,2026-03-02T23:43:38.522060,2026-03-02T23:44:56.158612,77.636552,35,0.18740223688836324,"{""fold_scores"": {""1"": 0.14710336923599243, ""2"": 0.11721479892730713, ""3"": 0.12195407599210739, ""4"": 0.1275670975446701, ""5"": 0.2249417006969452}, ""pruned_after_fold"": 5}"
8,COMPLETE,0.144450602432,2026-03-02T23:44:56.175791,2026-03-02T23:46:29.487233,93.311442,75,1.348018029089081,"{""fold_scores"": {""1"": 0.14706124365329742, ""2"": 0.1174568384885788, ""3"": 0.12179531157016754, ""4"": 0.12776979804039001, ""5"": 0.2249060422182083, ""6"": 0.1277143806219101}, ""objective_metric"": ""median_r"", ""trial_seconds"": 93.1879608631134}"
9,PRUNED,0.147653332353,2026-03-02T23:46:29.505580,2026-03-02T23:47:47.073542,77.567962,50,10.558813779064838,"{""fold_scores"": {""1"": 0.1458536833524704, ""2"": 0.11794310808181763, ""3"": 0.12188474833965302, ""4"": 0.12779828906059265, ""5"": 0.22478683292865753}, ""pruned_after_fold"": 5}"
