number,state,value,datetime_start,datetime_complete,duration_seconds,param_alignment.n_components,param_encoding.ridge_alpha,user_attrs_json
0,COMPLETE,0.144427853326,2026-03-04T12:29:43.579349,2026-03-04T12:31:16.310431,92.731082,195,4.185822729546974,"{""fold_scores"": {""1"": 0.14648652076721191, ""2"": 0.11756782233715057, ""3"": 0.12194621562957764, ""4"": 0.12785443663597107, ""5"": 0.22506922483444214, ""6"": 0.1276428997516632}, ""objective_metric"": ""median_r"", ""trial_seconds"": 92.61872720718384}"
1,COMPLETE,0.146146015575,2026-03-04T12:31:16.335054,2026-03-04T12:32:36.928776,80.593722,130,1330.3245101522919,"{""fold_scores"": {""1"": 0.14757002890110016, ""2"": 0.12123548984527588, ""3"": 0.12347724288702011, ""4"": 0.12752127647399902, ""5"": 0.22798748314380646, ""6"": 0.12908457219600677}, ""objective_metric"": ""median_r"", ""trial_seconds"": 80.49883723258972}"
2,COMPLETE,0.144337677707,2026-03-04T12:32:36.949182,2026-03-04T12:33:57.877287,80.928105,45,0.12363188277052217,"{""fold_scores"": {""1"": 0.14712120592594147, ""2"": 0.11717646569013596, ""3"": 0.12198369204998016, ""4"": 0.12752895057201385, ""5"": 0.22489044070243835, ""6"": 0.12732531130313873}, ""objective_metric"": ""median_r"", ""trial_seconds"": 80.8276379108429}"
3,COMPLETE,0.144215963781,2026-03-04T12:33:57.895459,2026-03-04T12:35:18.762882,80.867423,180,0.025502648504032846,"{""fold_scores"": {""1"": 0.1470530778169632, ""2"": 0.11709052324295044, ""3"": 0.12188299000263214, ""4"": 0.12748253345489502, ""5"": 0.22480401396751404, ""6"": 0.126982644200325}, ""objective_metric"": ""median_r"", ""trial_seconds"": 80.76931595802307}"
4,COMPLETE,0.144524358213,2026-03-04T12:35:18.778777,2026-03-04T12:36:39.635188,80.856411,150,161.36341713591332,"{""fold_scores"": {""1"": 0.14562064409255981, ""2"": 0.1191159039735794, ""3"": 0.12201505899429321, ""4"": 0.12690182030200958, ""5"": 0.22506269812583923, ""6"": 0.12843002378940582}, ""objective_metric"": ""median_r"", ""trial_seconds"": 80.75816416740417}"
5,PRUNED,0.147641398013,2026-03-04T12:36:39.650490,2026-03-04T12:37:47.083853,67.433363,195,0.013934502251337596,"{""fold_scores"": {""1"": 0.14704899489879608, ""2"": 0.1170765832066536, ""3"": 0.1218203604221344, ""4"": 0.12744571268558502, ""5"": 0.22481533885002136}, ""pruned_after_fold"": 5}"
6,COMPLETE,0.150214540462,2026-03-04T12:37:47.101350,2026-03-04T12:39:08.251648,81.150298,55,6715.811311069957,"{""fold_scores"": {""1"": 0.15263043344020844, ""2"": 0.1253935694694519, ""3"": 0.1270245611667633, ""4"": 0.13058702647686005, ""5"": 0.23407502472400665, ""6"": 0.13157662749290466}, ""objective_metric"": ""median_r"", ""trial_seconds"": 81.05791282653809}"
7,PRUNED,0.147756208479,2026-03-04T12:39:08.271062,2026-03-04T12:40:15.990882,67.71982,50,0.18740223688836324,"{""fold_scores"": {""1"": 0.14710336923599243, ""2"": 0.11721479892730713, ""3"": 0.12195407599210739, ""4"": 0.1275670975446701, ""5"": 0.2249417006969452}, ""pruned_after_fold"": 5}"
8,COMPLETE,0.144450602432,2026-03-04T12:40:16.005830,2026-03-04T12:41:37.121591,81.115761,115,1.348018029089081,"{""fold_scores"": {""1"": 0.14706124365329742, ""2"": 0.1174568384885788, ""3"": 0.12179531157016754, ""4"": 0.12776979804039001, ""5"": 0.2249060422182083, ""6"": 0.1277143806219101}, ""objective_metric"": ""median_r"", ""trial_seconds"": 81.02145910263062}"
9,PRUNED,0.147653332353,2026-03-04T12:41:37.136122,2026-03-04T12:42:44.756294,67.620172,70,10.558813779064838,"{""fold_scores"": {""1"": 0.1458536833524704, ""2"": 0.11794310808181763, ""3"": 0.12188474833965302, ""4"": 0.12779828906059265, ""5"": 0.22478683292865753}, ""pruned_after_fold"": 5}"
