number,state,value,datetime_start,datetime_complete,duration_seconds,param_alignment.n_components,param_encoding.ridge_alpha,user_attrs_json
0,COMPLETE,0.138387055447,2026-03-02T22:56:27.540456,2026-03-02T22:57:27.755604,60.215148,115,4.185822729546974,"{""fold_scores"": {""1"": 0.1405709981918335, ""2"": 0.12038344144821167, ""3"": 0.11429651081562042, ""4"": 0.12138684839010239, ""5"": 0.21606804430484772, ""6"": 0.11761648952960968}, ""objective_metric"": ""median_r"", ""trial_seconds"": 60.08164358139038}"
1,COMPLETE,0.139588426799,2026-03-02T22:57:27.783200,2026-03-02T22:58:25.988374,58.205174,80,1330.3245101522919,"{""fold_scores"": {""1"": 0.1418255716562271, ""2"": 0.12149402499198914, ""3"": 0.11485913395881653, ""4"": 0.12239570170640945, ""5"": 0.2182236760854721, ""6"": 0.11873245239257812}, ""objective_metric"": ""median_r"", ""trial_seconds"": 58.088560581207275}"
2,COMPLETE,0.138388603926,2026-03-02T22:58:26.012254,2026-03-02T22:59:24.396948,58.384694,35,0.12363188277052217,"{""fold_scores"": {""1"": 0.14058047533035278, ""2"": 0.12038353085517883, ""3"": 0.11429695785045624, ""4"": 0.12137644737958908, ""5"": 0.21607108414173126, ""6"": 0.11762312799692154}, ""objective_metric"": ""median_r"", ""trial_seconds"": 58.27266716957092}"
3,COMPLETE,0.138388633728,2026-03-02T22:59:24.413331,2026-03-02T23:00:22.552805,58.139474,110,0.025502648504032846,"{""fold_scores"": {""1"": 0.14058080315589905, ""2"": 0.12038341164588928, ""3"": 0.11429692804813385, ""4"": 0.12137607485055923, ""5"": 0.21607144176959991, ""6"": 0.11762314289808273}, ""objective_metric"": ""median_r"", ""trial_seconds"": 58.02692198753357}"
4,COMPLETE,0.138519308219,2026-03-02T23:00:22.569862,2026-03-02T23:01:20.512803,57.942941,90,161.36341713591332,"{""fold_scores"": {""1"": 0.14063656330108643, ""2"": 0.12040819227695465, ""3"": 0.1143287718296051, ""4"": 0.12166224420070648, ""5"": 0.21637241542339325, ""6"": 0.11770766228437424}, ""objective_metric"": ""median_r"", ""trial_seconds"": 57.82876992225647}"
5,PRUNED,0.142541727424,2026-03-02T23:01:20.529971,2026-03-02T23:02:08.926574,48.396603,120,0.013934502251337596,"{""fold_scores"": {""1"": 0.14058077335357666, ""2"": 0.1203833594918251, ""3"": 0.11429706960916519, ""4"": 0.12137611210346222, ""5"": 0.21607132256031036}, ""pruned_after_fold"": 5}"
6,COMPLETE,0.141876955827,2026-03-02T23:02:08.939120,2026-03-02T23:03:06.652674,57.713554,40,6715.811311069957,"{""fold_scores"": {""1"": 0.14464956521987915, ""2"": 0.12443274259567261, ""3"": 0.11618459224700928, ""4"": 0.1240881159901619, ""5"": 0.22177886962890625, ""6"": 0.1201278492808342}, ""objective_metric"": ""median_r"", ""trial_seconds"": 57.60222506523132}"
7,PRUNED,0.142541709542,2026-03-02T23:03:06.673964,2026-03-02T23:03:54.702999,48.029035,35,0.18740223688836324,"{""fold_scores"": {""1"": 0.14058029651641846, ""2"": 0.12038376927375793, ""3"": 0.11429697275161743, ""4"": 0.12137654423713684, ""5"": 0.2160709649324417}, ""pruned_after_fold"": 5}"
8,PRUNED,0.142541386187,2026-03-02T23:03:54.719568,2026-03-02T23:04:42.768409,48.048841,75,1.348018029089081,"{""fold_scores"": {""1"": 0.14057695865631104, ""2"": 0.12038534879684448, ""3"": 0.11429613828659058, ""4"": 0.12137960642576218, ""5"": 0.21606887876987457}, ""pruned_after_fold"": 5}"
9,PRUNED,0.142549148202,2026-03-02T23:04:42.784810,2026-03-02T23:05:30.977221,48.192411,50,10.558813779064838,"{""fold_scores"": {""1"": 0.14057013392448425, ""2"": 0.12039962410926819, ""3"": 0.1143006682395935, ""4"": 0.12140360474586487, ""5"": 0.2160717099905014}, ""pruned_after_fold"": 5}"
10,COMPLETE,0.13972915709,2026-03-02T23:05:30.993553,2026-03-02T23:06:27.475134,56.481581,20,70141.09129011331,"{""fold_scores"": {""1"": 0.13866113126277924, ""2"": 0.12484315782785416, ""3"": 0.11292604357004166, ""4"": 0.12005555629730225, ""5"": 0.2224016934633255, ""6"": 0.11948736011981964}, ""objective_metric"": ""median_r"", ""trial_seconds"": 56.364980697631836}"
11,COMPLETE,0.140017567823,2026-03-02T23:06:27.492626,2026-03-02T23:07:23.902902,56.410276,20,61201.177153178905,"{""fold_scores"": {""1"": 0.13896489143371582, ""2"": 0.12510007619857788, ""3"": 0.11324794590473175, ""4"": 0.11992153525352478, ""5"": 0.2232704907655716, ""6"": 0.11960046738386154}, ""objective_metric"": ""median_r"", ""trial_seconds"": 56.30037593841553}"
12,COMPLETE,0.1418923301,2026-03-02T23:07:23.919743,2026-03-02T23:08:21.749516,57.829773,55,75646.81035609996,"{""fold_scores"": {""1"": 0.14355655014514923, ""2"": 0.12501636147499084, ""3"": 0.11461012810468674, ""4"": 0.1246914342045784, ""5"": 0.22236523032188416, ""6"": 0.12111427634954453}, ""objective_metric"": ""median_r"", ""trial_seconds"": 57.716389894485474}"
13,COMPLETE,0.141507787009,2026-03-02T23:08:21.771804,2026-03-02T23:09:19.870628,58.098824,55,5423.383003777924,"{""fold_scores"": {""1"": 0.1441608965396881, ""2"": 0.12398329377174377, ""3"": 0.11585734784603119, ""4"": 0.1237909197807312, ""5"": 0.2213701456785202, ""6"": 0.11988411843776703}, ""objective_metric"": ""median_r"", ""trial_seconds"": 57.984716176986694}"
14,COMPLETE,0.141090231637,2026-03-02T23:09:19.887214,2026-03-02T23:10:17.750062,57.862848,55,4204.3908037474,"{""fold_scores"": {""1"": 0.14370614290237427, ""2"": 0.12353579699993134, ""3"": 0.11566925793886185, ""4"": 0.12329292297363281, ""5"": 0.2206582874059677, ""6"": 0.11967898160219193}, ""objective_metric"": ""median_r"", ""trial_seconds"": 57.750187158584595}"
15,PRUNED,0.142778004706,2026-03-02T23:10:17.767836,2026-03-02T23:11:05.953180,48.185344,40,230.8479493870433,"{""fold_scores"": {""1"": 0.14079055190086365, ""2"": 0.12046978622674942, ""3"": 0.11431804299354553, ""4"": 0.12169328331947327, ""5"": 0.2166183590888977}, ""pruned_after_fold"": 5}"
16,COMPLETE,0.143051995585,2026-03-02T23:11:05.970741,2026-03-02T23:12:05.031300,59.060559,65,14114.805098963543,"{""fold_scores"": {""1"": 0.1455886960029602, ""2"": 0.12580269575119019, ""3"": 0.11616946756839752, ""4"": 0.12535293400287628, ""5"": 0.22426271438598633, ""6"": 0.12113546580076218}, ""objective_metric"": ""median_r"", ""trial_seconds"": 58.94360852241516}"
17,COMPLETE,0.141267879556,2026-03-02T23:12:05.053710,2026-03-02T23:13:03.982466,58.928756,65,94780.70763786112,"{""fold_scores"": {""1"": 0.14291471242904663, ""2"": 0.12452864646911621, ""3"": 0.1141451895236969, ""4"": 0.1243361309170723, ""5"": 0.22126562893390656, ""6"": 0.12041696906089783}, ""objective_metric"": ""median_r"", ""trial_seconds"": 58.810728549957275}"
18,PRUNED,0.142684403062,2026-03-02T23:13:03.999191,2026-03-02T23:13:53.021867,49.022676,95,177.94669170552368,"{""fold_scores"": {""1"": 0.14064979553222656, ""2"": 0.12039496004581451, ""3"": 0.11430716514587402, ""4"": 0.1216602623462677, ""5"": 0.216409832239151}, ""pruned_after_fold"": 5}"
19,COMPLETE,0.1431994314,2026-03-02T23:13:53.038745,2026-03-02T23:14:51.745578,58.706833,65,15999.984563872746,"{""fold_scores"": {""1"": 0.14590267837047577, ""2"": 0.1259889453649521, ""3"": 0.11634769290685654, ""4"": 0.12557005882263184, ""5"": 0.224209725856781, ""6"": 0.12117748707532883}, ""objective_metric"": ""median_r"", ""trial_seconds"": 58.590489864349365}"
20,PRUNED,0.14347038269,2026-03-02T23:14:51.768452,2026-03-02T23:15:40.861147,49.092695,70,977.3225803158878,"{""fold_scores"": {""1"": 0.1416594684123993, ""2"": 0.12113688886165619, ""3"": 0.11468499898910522, ""4"": 0.1222073882818222, ""5"": 0.21766316890716553}, ""pruned_after_fold"": 5}"
21,COMPLETE,0.143487247328,2026-03-02T23:15:40.879117,2026-03-02T23:16:39.809513,58.930396,65,21324.18171009977,"{""fold_scores"": {""1"": 0.14631235599517822, ""2"": 0.12586647272109985, ""3"": 0.11649800837039948, ""4"": 0.12582650780677795, ""5"": 0.22502769529819489, ""6"": 0.12139244377613068}, ""objective_metric"": ""median_r"", ""trial_seconds"": 58.81181073188782}"
22,COMPLETE,0.143136199564,2026-03-02T23:16:39.831330,2026-03-02T23:17:38.587949,58.756619,85,14991.224913677295,"{""fold_scores"": {""1"": 0.14574110507965088, ""2"": 0.12583516538143158, ""3"": 0.11633603274822235, ""4"": 0.12551353871822357, ""5"": 0.22429901361465454, ""6"": 0.12109234184026718}, ""objective_metric"": ""median_r"", ""trial_seconds"": 58.641369104385376}"
23,COMPLETE,0.143328009794,2026-03-02T23:17:38.605189,2026-03-02T23:18:37.441787,58.836598,85,16963.149037068233,"{""fold_scores"": {""1"": 0.14603179693222046, ""2"": 0.12609750032424927, ""3"": 0.11646449565887451, ""4"": 0.12580649554729462, ""5"": 0.22440901398658752, ""6"": 0.12115875631570816}, ""objective_metric"": ""median_r"", ""trial_seconds"": 58.71973395347595}"
24,PRUNED,0.1434268713,2026-03-02T23:18:37.458236,2026-03-02T23:19:26.280165,48.821929,100,920.3865143850685,"{""fold_scores"": {""1"": 0.1415736824274063, ""2"": 0.12108078598976135, ""3"": 0.11470633000135422, ""4"": 0.12214978784322739, ""5"": 0.217623770236969}, ""pruned_after_fold"": 5}"
25,COMPLETE,0.143578585237,2026-03-02T23:19:26.297478,2026-03-02T23:20:25.334068,59.03659,75,23530.76467622915,"{""fold_scores"": {""1"": 0.14637580513954163, ""2"": 0.1259002387523651, ""3"": 0.11645731329917908, ""4"": 0.12592211365699768, ""5"": 0.22520092129707336, ""6"": 0.12161511927843094}, ""objective_metric"": ""median_r"", ""trial_seconds"": 58.919037103652954}"
26,PRUNED,0.142569445074,2026-03-02T23:20:25.356113,2026-03-02T23:21:14.774869,49.418756,100,30.07991755318214,"{""fold_scores"": {""1"": 0.14056788384914398, ""2"": 0.12042264640331268, ""3"": 0.11432716250419617, ""4"": 0.12144681066274643, ""5"": 0.21608272194862366}, ""pruned_after_fold"": 5}"
27,PRUNED,0.144419541955,2026-03-02T23:21:14.791986,2026-03-02T23:22:04.054420,49.262434,80,2161.655307316526,"{""fold_scores"": {""1"": 0.14221692085266113, ""2"": 0.12251513451337814, ""3"": 0.11512234061956406, ""4"": 0.12294425070285797, ""5"": 0.2192990630865097}, ""pruned_after_fold"": 5}"
