number,state,value,datetime_start,datetime_complete,duration_seconds,param_alignment.n_components,param_encoding.ridge_alpha,user_attrs_json
0,COMPLETE,0.156079014142,2026-06-03T17:00:25.167362,2026-06-03T17:01:24.982098,59.814736,195,4.185822729546974,"{""fold_scores"": {""1"": 0.15504714846611023, ""2"": 0.13090595602989197, ""3"": 0.13004305958747864, ""4"": 0.1399524062871933, ""5"": 0.24903853237628937, ""6"": 0.13148698210716248}, ""objective_metric"": ""median_r"", ""trial_seconds"": 59.70736885070801}"
1,COMPLETE,0.156481613715,2026-06-03T17:01:25.005069,2026-06-03T17:02:14.096120,49.091051,130,1330.3245101522919,"{""fold_scores"": {""1"": 0.1556384563446045, ""2"": 0.1328229010105133, ""3"": 0.1319742500782013, ""4"": 0.13784460723400116, ""5"": 0.24768514931201935, ""6"": 0.13292431831359863}, ""objective_metric"": ""median_r"", ""trial_seconds"": 49.00015616416931}"
2,COMPLETE,0.155656928817,2026-06-03T17:02:14.118867,2026-06-03T17:03:03.180291,49.061424,45,0.12363188277052217,"{""fold_scores"": {""1"": 0.1557210087776184, ""2"": 0.13001644611358643, ""3"": 0.12935054302215576, ""4"": 0.13988105952739716, ""5"": 0.24893692135810852, ""6"": 0.13003559410572052}, ""objective_metric"": ""median_r"", ""trial_seconds"": 48.965189695358276}"
3,COMPLETE,0.15558004876,2026-06-03T17:03:03.196456,2026-06-03T17:03:52.269102,49.072646,180,0.025502648504032846,"{""fold_scores"": {""1"": 0.15572519600391388, ""2"": 0.1299140453338623, ""3"": 0.1293959617614746, ""4"": 0.13967128098011017, ""5"": 0.2489410936832428, ""6"": 0.12983271479606628}, ""objective_metric"": ""median_r"", ""trial_seconds"": 48.982850790023804}"
4,COMPLETE,0.156343281269,2026-06-03T17:03:52.284439,2026-06-03T17:04:41.417142,49.132703,150,161.36341713591332,"{""fold_scores"": {""1"": 0.15502426028251648, ""2"": 0.13169965147972107, ""3"": 0.13113108277320862, ""4"": 0.1388588696718216, ""5"": 0.24800722301006317, ""6"": 0.13333860039710999}, ""objective_metric"": ""median_r"", ""trial_seconds"": 49.01909852027893}"
5,PRUNED,0.160685715079,2026-06-03T17:04:41.432805,2026-06-03T17:05:22.286055,40.85325,195,0.013934502251337596,"{""fold_scores"": {""1"": 0.15562909841537476, ""2"": 0.12989747524261475, ""3"": 0.12931299209594727, ""4"": 0.13965675234794617, ""5"": 0.24893225729465485}, ""pruned_after_fold"": 5}"
6,COMPLETE,0.157506880661,2026-06-03T17:05:22.298297,2026-06-03T17:06:11.288307,48.99001,55,6715.811311069957,"{""fold_scores"": {""1"": 0.15810444951057434, ""2"": 0.13431066274642944, ""3"": 0.13354188203811646, ""4"": 0.1382225900888443, ""5"": 0.2478887140750885, ""6"": 0.13297298550605774}, ""objective_metric"": ""median_r"", ""trial_seconds"": 48.89580988883972}"
7,PRUNED,0.160844239593,2026-06-03T17:06:11.309699,2026-06-03T17:06:52.181314,40.871615,50,0.18740223688836324,"{""fold_scores"": {""1"": 0.15571695566177368, ""2"": 0.13009652495384216, ""3"": 0.12939678132534027, ""4"": 0.13992510735988617, ""5"": 0.24908582866191864}, ""pruned_after_fold"": 5}"
8,PRUNED,0.16088282764,2026-06-03T17:06:52.196011,2026-06-03T17:07:33.179230,40.983219,115,1.348018029089081,"{""fold_scores"": {""1"": 0.15538564324378967, ""2"": 0.13048100471496582, ""3"": 0.12953323125839233, ""4"": 0.14001883566379547, ""5"": 0.24899542331695557}, ""pruned_after_fold"": 5}"
9,PRUNED,0.160871899128,2026-06-03T17:07:33.193783,2026-06-03T17:08:14.148879,40.955096,70,10.558813779064838,"{""fold_scores"": {""1"": 0.15468229353427887, ""2"": 0.13099616765975952, ""3"": 0.1302337348461151, ""4"": 0.13985081017017365, ""5"": 0.24859648942947388}, ""pruned_after_fold"": 5}"
