number,state,value,datetime_start,datetime_complete,duration_seconds,param_alignment.n_components,param_encoding.ridge_alpha,user_attrs_json
0,COMPLETE,0.146055695911,2026-06-03T19:06:30.089403,2026-06-03T19:07:51.543607,81.454204,195,4.185822729546974,"{""fold_scores"": {""1"": 0.14695289731025696, ""2"": 0.11964873969554901, ""3"": 0.1209946721792221, ""4"": 0.13005481660366058, ""5"": 0.23056228458881378, ""6"": 0.1281207650899887}, ""objective_metric"": ""median_r"", ""trial_seconds"": 81.34555196762085}"
1,COMPLETE,0.147721399864,2026-06-03T19:07:51.565357,2026-06-03T19:09:12.670873,81.105516,130,1330.3245101522919,"{""fold_scores"": {""1"": 0.1482139527797699, ""2"": 0.12244369089603424, ""3"": 0.12299293279647827, ""4"": 0.1296803057193756, ""5"": 0.23378795385360718, ""6"": 0.12920956313610077}, ""objective_metric"": ""median_r"", ""trial_seconds"": 81.01300811767578}"
2,COMPLETE,0.145821002622,2026-06-03T19:09:12.690032,2026-06-03T19:10:33.572719,80.882687,45,0.12363188277052217,"{""fold_scores"": {""1"": 0.1476469784975052, ""2"": 0.11930665373802185, ""3"": 0.11998516321182251, ""4"": 0.1300351917743683, ""5"": 0.2309148758649826, ""6"": 0.1270371526479721}, ""objective_metric"": ""median_r"", ""trial_seconds"": 80.78597044944763}"
3,COMPLETE,0.145792541405,2026-06-03T19:10:33.587426,2026-06-03T19:11:54.292548,80.705122,180,0.025502648504032846,"{""fold_scores"": {""1"": 0.14765329658985138, ""2"": 0.11933861672878265, ""3"": 0.12001971900463104, ""4"": 0.13003294169902802, ""5"": 0.23089712858200073, ""6"": 0.12681354582309723}, ""objective_metric"": ""median_r"", ""trial_seconds"": 80.60659885406494}"
4,COMPLETE,0.146200160185,2026-06-03T19:11:54.307453,2026-06-03T19:13:15.355392,81.047939,150,161.36341713591332,"{""fold_scores"": {""1"": 0.14626336097717285, ""2"": 0.12065945565700531, ""3"": 0.12150698900222778, ""4"": 0.12915030121803284, ""5"": 0.23068979382514954, ""6"": 0.12893106043338776}, ""objective_metric"": ""median_r"", ""trial_seconds"": 80.95017385482788}"
5,PRUNED,0.149590787292,2026-06-03T19:13:15.369868,2026-06-03T19:14:22.751841,67.381973,195,0.013934502251337596,"{""fold_scores"": {""1"": 0.1477210521697998, ""2"": 0.11932721734046936, ""3"": 0.12001959979534149, ""4"": 0.12999044358730316, ""5"": 0.23089562356472015}, ""pruned_after_fold"": 5}"
6,COMPLETE,0.151947048803,2026-06-03T19:14:22.763728,2026-06-03T19:15:43.630930,80.867202,55,6715.811311069957,"{""fold_scores"": {""1"": 0.15317778289318085, ""2"": 0.1273132562637329, ""3"": 0.12672439217567444, ""4"": 0.13319861888885498, ""5"": 0.23956815898418427, ""6"": 0.1317000836133957}, ""objective_metric"": ""median_r"", ""trial_seconds"": 80.76816129684448}"
7,PRUNED,0.149558076262,2026-06-03T19:15:43.654084,2026-06-03T19:16:52.501742,68.847658,50,0.18740223688836324,"{""fold_scores"": {""1"": 0.14761969447135925, ""2"": 0.1192764937877655, ""3"": 0.12002682685852051, ""4"": 0.13005131483078003, ""5"": 0.230816051363945}, ""pruned_after_fold"": 5}"
8,PRUNED,0.149628867209,2026-06-03T19:16:52.517834,2026-06-03T19:17:59.765512,67.247678,115,1.348018029089081,"{""fold_scores"": {""1"": 0.14737647771835327, ""2"": 0.11958620697259903, ""3"": 0.12045265734195709, ""4"": 0.13011418282985687, ""5"": 0.2306148111820221}, ""pruned_after_fold"": 5}"
9,PRUNED,0.149605074525,2026-06-03T19:17:59.782094,2026-06-03T19:19:07.060891,67.278797,70,10.558813779064838,"{""fold_scores"": {""1"": 0.1465427577495575, ""2"": 0.11974696815013885, ""3"": 0.12121887505054474, ""4"": 0.12990307807922363, ""5"": 0.23061369359493256}, ""pruned_after_fold"": 5}"
10,COMPLETE,0.155479460955,2026-06-03T19:19:07.075920,2026-06-03T19:20:25.700269,78.624349,20,70141.09129011331,"{""fold_scores"": {""1"": 0.15893352031707764, ""2"": 0.13131597638130188, ""3"": 0.13325491547584534, ""4"": 0.13288459181785583, ""5"": 0.24555018544197083, ""6"": 0.1309375762939453}, ""objective_metric"": ""median_r"", ""trial_seconds"": 78.53090977668762}"
11,COMPLETE,0.155654929578,2026-06-03T19:20:25.720969,2026-06-03T19:21:44.304203,78.583234,20,61201.177153178905,"{""fold_scores"": {""1"": 0.15930473804473877, ""2"": 0.13108915090560913, ""3"": 0.13374170660972595, ""4"": 0.1327161341905594, ""5"": 0.24603328108787537, ""6"": 0.13104456663131714}, ""objective_metric"": ""median_r"", ""trial_seconds"": 78.49214267730713}"
12,COMPLETE,0.157333734135,2026-06-03T19:21:44.323811,2026-06-03T19:23:03.707296,79.383485,25,86397.15474724208,"{""fold_scores"": {""1"": 0.16095030307769775, ""2"": 0.13632835447788239, ""3"": 0.1306915283203125, ""4"": 0.13457471132278442, ""5"": 0.2496148645877838, ""6"": 0.13184264302253723}, ""objective_metric"": ""median_r"", ""trial_seconds"": 79.28004240989685}"
