number,state,value,datetime_start,datetime_complete,duration_seconds,param_alignment.n_components,param_encoding.ridge_alpha,user_attrs_json
0,COMPLETE,0.139901892593,2026-06-03T18:00:26.296363,2026-06-03T18:01:19.305377,53.009014,195,4.185822729546974,"{""fold_scores"": {""1"": 0.1420823037624359, ""2"": 0.12029493600130081, ""3"": 0.11295381933450699, ""4"": 0.12500318884849548, ""5"": 0.22019489109516144, ""6"": 0.11888221651315689}, ""objective_metric"": ""median_r"", ""trial_seconds"": 52.90196108818054}"
1,COMPLETE,0.14116557315,2026-06-03T18:01:19.327769,2026-06-03T18:02:11.142403,51.814634,130,1330.3245101522919,"{""fold_scores"": {""1"": 0.1435784250497818, ""2"": 0.12199284881353378, ""3"": 0.11352434754371643, ""4"": 0.12618224322795868, ""5"": 0.22219836711883545, ""6"": 0.11951720714569092}, ""objective_metric"": ""median_r"", ""trial_seconds"": 51.72130298614502}"
2,COMPLETE,0.139901207139,2026-06-03T18:02:11.162749,2026-06-03T18:03:02.990772,51.828023,45,0.12363188277052217,"{""fold_scores"": {""1"": 0.14207780361175537, ""2"": 0.12029245495796204, ""3"": 0.11295945942401886, ""4"": 0.12499719113111496, ""5"": 0.22020301222801208, ""6"": 0.11887732148170471}, ""objective_metric"": ""median_r"", ""trial_seconds"": 51.737228870391846}"
3,COMPLETE,0.139901140084,2026-06-03T18:03:03.006033,2026-06-03T18:03:54.800376,51.794343,180,0.025502648504032846,"{""fold_scores"": {""1"": 0.14207768440246582, ""2"": 0.12029233574867249, ""3"": 0.1129595935344696, ""4"": 0.12499700486660004, ""5"": 0.2202031910419464, ""6"": 0.11887703090906143}, ""objective_metric"": ""median_r"", ""trial_seconds"": 51.70150113105774}"
4,COMPLETE,0.140023298562,2026-06-03T18:03:54.815910,2026-06-03T18:04:46.710691,51.894781,150,161.36341713591332,"{""fold_scores"": {""1"": 0.1422298401594162, ""2"": 0.12054423987865448, ""3"": 0.11303825676441193, ""4"": 0.12510569393634796, ""5"": 0.2203056663274765, ""6"": 0.1189160943031311}, ""objective_metric"": ""median_r"", ""trial_seconds"": 51.77377367019653}"
5,COMPLETE,0.139901147534,2026-06-03T18:04:46.725455,2026-06-03T18:05:38.511015,51.78556,195,0.013934502251337596,"{""fold_scores"": {""1"": 0.14207762479782104, ""2"": 0.12029238045215607, ""3"": 0.1129596084356308, ""4"": 0.12499704957008362, ""5"": 0.2202034592628479, ""6"": 0.11887676268815994}, ""objective_metric"": ""median_r"", ""trial_seconds"": 51.690338373184204}"
6,COMPLETE,0.143665452798,2026-06-03T18:05:38.526566,2026-06-03T18:06:30.263946,51.73738,55,6715.811311069957,"{""fold_scores"": {""1"": 0.1464006006717682, ""2"": 0.12542840838432312, ""3"": 0.11457408964633942, ""4"": 0.12745891511440277, ""5"": 0.22702592611312866, ""6"": 0.12110477685928345}, ""objective_metric"": ""median_r"", ""trial_seconds"": 51.64614224433899}"
7,PRUNED,0.14410597384,2026-06-03T18:06:30.284358,2026-06-03T18:07:13.388556,43.104198,50,0.18740223688836324,"{""fold_scores"": {""1"": 0.14207780361175537, ""2"": 0.12029248476028442, ""3"": 0.1129593774676323, ""4"": 0.12499725073575974, ""5"": 0.2202029526233673}, ""pruned_after_fold"": 5}"
8,PRUNED,0.144105696678,2026-06-03T18:07:13.403807,2026-06-03T18:07:56.430482,43.026675,115,1.348018029089081,"{""fold_scores"": {""1"": 0.14207910001277924, ""2"": 0.12029262632131577, ""3"": 0.11295779049396515, ""4"": 0.12499897927045822, ""5"": 0.22019998729228973}, ""pruned_after_fold"": 5}"
9,COMPLETE,0.139909097304,2026-06-03T18:07:56.445583,2026-06-03T18:08:48.228933,51.78335,70,10.558813779064838,"{""fold_scores"": {""1"": 0.14208948612213135, ""2"": 0.1203128769993782, ""3"": 0.11297090351581573, ""4"": 0.1250128597021103, ""5"": 0.22019827365875244, ""6"": 0.11887018382549286}, ""objective_metric"": ""median_r"", ""trial_seconds"": 51.69137954711914}"
